2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::startSync 	FL:LibXLiveImpl.cpp(378)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CSyncManager::startSync 	FL:SyncManager.cpp(412)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CSyncManager::_init 	FL:SyncManager.cpp(789)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CLocalFS::init 	FL:LocalFS.cpp(27)
2013/11/21 14:59:39	I	xlive 	3276:3788 	syncroot = X: 	FL:LocalFS.cpp(31)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CLocalFS::init 	FL:LocalFS.cpp(27)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(735)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"1]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[OUT 0'0"1]       CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:39	T	xlive 	3276:3788 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
